,Clave municipal,Predicción 3
Abril,9005,8
Abril,9007,26
Abril,14097,15
Abril,14098,12
Abril,14101,5
Abril,14039,34
Abril,14120,16
Abril,15005,1
Abril,15033,18
Abril,15051,2
Abril,15054,0
Abril,15058,14
Abril,15106,2
Abril,15118,0
Abril,19019,0
Abril,19026,1
Abril,19039,19
Abril,19046,9
Abril,19049,0
Abril,21015,0
Abril,21041,0
Abril,21114,1
Abril,21119,0
Abril,21132,1
Abril,21140,0
