,Clave municipal,Predicción 2
Abril,9005,11
Abril,9007,13
Abril,14097,10
Abril,14098,12
Abril,14101,5
Abril,14039,30
Abril,14120,16
Abril,15005,0
Abril,15033,7
Abril,15051,0
Abril,15054,0
Abril,15058,15
Abril,15106,2
Abril,15118,0
Abril,19019,1
Abril,19026,1
Abril,19039,18
Abril,19046,2
Abril,19049,0
Abril,21015,0
Abril,21041,0
Abril,21114,2
Abril,21119,0
Abril,21132,2
Abril,21140,0
