,Clave municipal,Predicción 1
Abril,9005,11
Abril,9007,13
Abril,14097,8
Abril,14098,5
Abril,14101,5
Abril,14039,31
Abril,14120,8
Abril,15005,1
Abril,15033,13
Abril,15051,0
Abril,15054,0
Abril,15058,7
Abril,15106,3
Abril,15118,0
Abril,19019,1
Abril,19026,1
Abril,19039,9
Abril,19046,2
Abril,19049,0
Abril,21015,1
Abril,21041,0
Abril,21114,2
Abril,21119,0
Abril,21132,2
Abril,21140,0
