,Clave municipal,Predicción 3
Mayo,9005,7
Mayo,9007,25
Mayo,14097,14
Mayo,14098,20
Mayo,14101,4
Mayo,14039,21
Mayo,14120,16
Mayo,15005,0
Mayo,15033,13
Mayo,15051,1
Mayo,15054,0
Mayo,15058,16
Mayo,15106,3
Mayo,15118,0
Mayo,19019,4
Mayo,19026,1
Mayo,19039,19
Mayo,19046,8
Mayo,19049,0
Mayo,21015,3
Mayo,21041,0
Mayo,21114,1
Mayo,21119,0
Mayo,21132,4
Mayo,21140,0
