,Clave municipal,Predicción 3
Marzo,9005,15
Marzo,9007,26
Marzo,14097,14
Marzo,14098,19
Marzo,14101,7
Marzo,14039,29
Marzo,14120,16
Marzo,15005,0
Marzo,15033,11
Marzo,15051,0
Marzo,15054,0
Marzo,15058,9
Marzo,15106,5
Marzo,15118,0
Marzo,19019,1
Marzo,19026,1
Marzo,19039,20
Marzo,19046,6
Marzo,19049,0
Marzo,21015,0
Marzo,21041,0
Marzo,21114,2
Marzo,21119,0
Marzo,21132,4
Marzo,21140,0
