,Clave municipal,Real
Febrero,9005,10
Febrero,9007,16
Febrero,14097,8
Febrero,14098,21
Febrero,14101,13
Febrero,14039,23
Febrero,14120,11
Febrero,15005,1
Febrero,15033,23
Febrero,15051,0
Febrero,15054,0
Febrero,15058,8
Febrero,15106,7
Febrero,15118,2
Febrero,19019,0
Febrero,19026,0
Febrero,19039,20
Febrero,19046,1
Febrero,19049,0
Febrero,21015,3
Febrero,21041,0
Febrero,21114,5
Febrero,21119,2
Febrero,21132,2
Febrero,21140,0
