,Clave municipal,Predicción 1
Marzo,9005,11
Marzo,9007,13
Marzo,14097,8
Marzo,14098,10
Marzo,14101,5
Marzo,14039,9
Marzo,14120,8
Marzo,15005,1
Marzo,15033,13
Marzo,15051,0
Marzo,15054,0
Marzo,15058,7
Marzo,15106,3
Marzo,15118,0
Marzo,19019,1
Marzo,19026,1
Marzo,19039,9
Marzo,19046,2
Marzo,19049,0
Marzo,21015,1
Marzo,21041,0
Marzo,21114,8
Marzo,21119,0
Marzo,21132,2
Marzo,21140,0
