,Clave municipal,Predicción 3
Enero,9005,15
Enero,9007,26
Enero,14097,2
Enero,14098,9
Enero,14101,3
Enero,14039,26
Enero,14120,16
Enero,15005,0
Enero,15033,16
Enero,15051,2
Enero,15054,0
Enero,15058,5
Enero,15106,2
Enero,15118,0
Enero,19019,1
Enero,19026,1
Enero,19039,20
Enero,19046,6
Enero,19049,0
Enero,21015,1
Enero,21041,0
Enero,21114,2
Enero,21119,0
Enero,21132,4
Enero,21140,0
