,Clave municipal,Real
Marzo,9005,12
Marzo,9007,16
Marzo,14097,10
Marzo,14098,19
Marzo,14101,12
Marzo,14039,33
Marzo,14120,7
Marzo,15005,0
Marzo,15033,17
Marzo,15051,0
Marzo,15054,0
Marzo,15058,8
Marzo,15106,5
Marzo,15118,2
Marzo,19019,0
Marzo,19026,0
Marzo,19039,14
Marzo,19046,2
Marzo,19049,0
Marzo,21015,2
Marzo,21041,0
Marzo,21114,4
Marzo,21119,0
Marzo,21132,3
Marzo,21140,0
