,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,12.0,0.0,0.0,52.0,3.0,5.0,82.0,85.0,5.0,133.0,165.0,0.0,0.0,280.0,38.0,6.0,303.0,30.0,131.0,11.0,6.0
8,6.0,0.0,0.0,43.0,3.0,7.0,59.0,94.0,1.0,154.0,181.0,0.0,0.0,313.0,34.0,9.0,335.0,27.0,152.0,7.0,13.0
9,13.0,0.0,0.0,41.0,0.0,10.0,76.0,93.0,3.0,192.0,187.0,0.0,0.0,275.0,42.0,12.0,336.0,19.0,156.0,8.0,17.0
10,17.0,0.0,0.0,53.0,0.0,5.0,87.0,91.0,4.0,214.0,172.0,0.0,0.0,245.0,29.0,12.0,329.0,35.0,152.0,10.0,16.0
11,16.0,0.0,0.0,48.0,2.0,11.0,81.0,87.0,7.0,189.0,178.0,0.0,0.0,221.0,30.0,11.0,285.0,35.0,107.0,6.0,20.0
12,20.0,0.0,0.0,44.0,2.0,3.0,70.0,89.0,3.0,241.0,157.0,0.0,0.0,224.0,39.0,6.0,295.0,32.0,122.0,8.0,17.0
1,17.0,0.0,0.0,42.0,1.0,10.0,87.0,118.0,5.0,224.0,230.0,0.0,0.0,272.0,41.0,10.0,263.0,47.0,104.0,9.0,7.0
2,7.0,0.0,0.0,52.0,1.0,5.0,69.0,85.0,6.0,174.0,263.0,0.0,0.0,301.0,33.0,4.0,291.0,40.0,110.0,6.0,13.0
3,13.0,0.0,0.0,42.0,1.0,9.0,64.0,107.0,2.0,223.0,197.0,0.0,0.0,337.0,40.0,10.0,336.0,39.0,134.0,4.0,9.0
4,9.0,0.0,0.0,42.0,3.0,11.0,75.0,80.0,4.0,198.0,161.0,0.0,0.0,368.0,34.0,2.0,329.0,39.0,132.0,13.0,17.0
5,17.0,0.0,0.0,40.0,0.0,14.0,63.0,104.0,2.0,250.0,176.0,0.0,0.0,330.0,43.0,11.0,363.0,35.0,149.0,11.0,13.0
6,13.0,0.0,0.0,30.0,1.0,4.0,71.0,98.0,4.0,221.0,206.0,0.0,0.0,409.0,38.0,7.0,304.0,26.0,136.0,10.0,18.0
7,18.0,0.0,0.0,35.0,2.0,9.0,65.0,79.0,2.0,219.0,198.0,0.0,0.0,362.0,29.0,7.0,287.0,43.0,140.0,9.0,17.0
8,17.0,0.0,0.0,37.0,1.0,13.0,69.0,96.0,1.0,117.0,216.0,0.0,0.0,405.0,24.0,4.0,323.0,89.0,123.0,7.0,17.0
9,17.0,0.0,0.0,21.0,0.0,11.0,55.0,110.0,1.0,109.0,168.0,0.0,0.0,381.0,36.0,9.0,329.0,69.0,152.0,15.0,19.0
10,19.0,0.0,0.0,46.0,1.0,8.0,72.0,114.0,1.0,133.0,169.0,0.0,0.0,391.0,33.0,6.0,319.0,83.0,119.0,11.0,8.0
11,8.0,0.0,0.0,43.0,0.0,6.0,73.0,105.0,6.0,146.0,152.0,0.0,0.0,347.0,33.0,6.0,260.0,80.0,107.0,8.0,17.0
12,17.0,0.0,0.0,28.0,1.0,8.0,76.0,102.0,2.0,149.0,196.0,0.0,0.0,374.0,32.0,5.0,271.0,72.0,98.0,5.0,10.0
1,10.0,0.0,0.0,42.0,0.0,19.0,79.0,94.0,6.0,311.0,201.0,0.0,0.0,331.0,36.0,2.0,234.0,83.0,129.0,3.0,18.0
2,18.0,0.0,0.0,31.0,0.0,16.0,80.0,97.0,7.0,306.0,220.0,0.0,0.0,364.0,39.0,10.0,271.0,60.0,117.0,12.0,15.0
3,15.0,0.0,0.0,45.0,1.0,31.0,56.0,102.0,6.0,314.0,200.0,0.0,0.0,358.0,33.0,11.0,261.0,84.0,139.0,11.0,27.0
4,27.0,0.0,0.0,33.0,0.0,21.0,71.0,93.0,3.0,327.0,189.0,0.0,0.0,330.0,37.0,5.0,334.0,103.0,116.0,8.0,18.0
5,18.0,0.0,0.0,41.0,1.0,26.0,55.0,90.0,3.0,344.0,199.0,0.0,0.0,343.0,30.0,5.0,334.0,115.0,153.0,10.0,27.0
6,27.0,0.0,0.0,39.0,2.0,25.0,70.0,103.0,4.0,385.0,161.0,0.0,0.0,329.0,38.0,5.0,288.0,75.0,159.0,11.0,21.0
7,21.0,0.0,0.0,38.0,1.0,16.0,72.0,114.0,3.0,415.0,146.0,0.0,0.0,381.0,38.0,3.0,310.0,99.0,146.0,7.0,16.0
8,16.0,0.0,0.0,44.0,1.0,38.0,82.0,117.0,4.0,494.0,217.0,0.0,0.0,385.0,33.0,8.0,265.0,111.0,146.0,10.0,17.0
9,17.0,0.0,0.0,29.0,1.0,25.0,71.0,104.0,4.0,436.0,170.0,0.0,0.0,321.0,43.0,7.0,291.0,94.0,171.0,11.0,19.0
10,19.0,0.0,0.0,46.0,0.0,25.0,79.0,119.0,3.0,458.0,207.0,0.0,0.0,274.0,41.0,7.0,262.0,159.0,167.0,7.0,19.0
11,19.0,0.0,0.0,37.0,0.0,22.0,68.0,145.0,5.0,393.0,167.0,0.0,0.0,234.0,46.0,5.0,232.0,131.0,149.0,11.0,24.0
12,24.0,0.0,0.0,36.0,1.0,22.0,66.0,165.0,7.0,356.0,212.0,0.0,0.0,226.0,33.0,8.0,278.0,53.0,111.0,2.0,25.0
1,25.0,0.0,0.0,37.0,1.0,24.0,75.0,129.0,4.0,363.0,250.0,0.0,0.0,243.0,41.0,18.0,269.0,66.0,173.0,7.0,23.0
