,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H,H
1,1.0,0.0,0.0,8.0,0.0,22.0,21.0,24.0,1.0,9.0,20.0,0.0,0.0,27.0,11.0,3.0,124.0,23.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2,3.0,0.0,0.0,14.0,0.0,17.0,18.0,22.0,1.0,14.0,25.0,0.0,0.0,33.0,4.0,5.0,106.0,18.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
3,3.0,0.0,0.0,19.0,0.0,23.0,16.0,19.0,0.0,12.0,31.0,0.0,0.0,33.0,25.0,6.0,169.0,31.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,2.0,0.0,0.0,11.0,1.0,19.0,23.0,23.0,2.0,10.0,21.0,0.0,0.0,39.0,14.0,5.0,122.0,18.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,10.0,0.0,26.0,22.0,26.0,0.0,8.0,31.0,0.0,0.0,33.0,11.0,4.0,167.0,34.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
6,4.0,0.0,0.0,12.0,0.0,26.0,18.0,26.0,0.0,10.0,19.0,0.0,0.0,60.0,25.0,6.0,167.0,26.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
7,13.0,0.0,0.0,16.0,0.0,25.0,22.0,28.0,0.0,10.0,26.0,0.0,0.0,43.0,8.0,8.0,188.0,27.0,56.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,1.0,0.0,0.0,13.0,0.0,29.0,26.0,17.0,1.0,15.0,27.0,0.0,0.0,43.0,12.0,4.0,192.0,35.0,54.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
9,7.0,0.0,0.0,13.0,0.0,11.0,22.0,1.0,4.0,6.0,25.0,0.0,0.0,60.0,5.0,3.0,147.0,26.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
10,7.0,0.0,0.0,16.0,0.0,26.0,10.0,3.0,1.0,7.0,24.0,0.0,0.0,64.0,9.0,3.0,140.0,24.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
