,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,2.0,36.0,0.0,0.0,1.0,6.0,56.0,191.0,5.0,13.0,0.0,2.0,0.0,203.0,10.0,13.0,53.0,14.0,0.0,7.0,2.0
8,2.0,47.0,0.0,2.0,1.0,6.0,44.0,180.0,9.0,10.0,0.0,1.0,0.0,158.0,15.0,9.0,44.0,9.0,0.0,6.0,7.0
9,7.0,5.0,0.0,22.0,0.0,11.0,44.0,159.0,4.0,49.0,5.0,0.0,0.0,172.0,21.0,9.0,50.0,12.0,0.0,11.0,4.0
10,4.0,2.0,0.0,33.0,2.0,6.0,39.0,178.0,9.0,46.0,1.0,0.0,0.0,141.0,25.0,15.0,48.0,30.0,0.0,16.0,2.0
11,2.0,14.0,1.0,40.0,3.0,8.0,37.0,148.0,4.0,69.0,4.0,0.0,0.0,180.0,11.0,14.0,31.0,17.0,0.0,7.0,2.0
12,2.0,10.0,0.0,46.0,0.0,7.0,55.0,162.0,7.0,110.0,4.0,1.0,0.0,131.0,15.0,16.0,31.0,24.0,0.0,4.0,1.0
1,1.0,29.0,1.0,29.0,1.0,3.0,69.0,200.0,5.0,77.0,12.0,0.0,0.0,207.0,21.0,14.0,33.0,1.0,0.0,5.0,1.0
2,1.0,13.0,1.0,43.0,1.0,9.0,34.0,175.0,8.0,98.0,4.0,1.0,0.0,230.0,16.0,13.0,38.0,2.0,0.0,10.0,2.0
3,2.0,10.0,0.0,29.0,1.0,7.0,37.0,192.0,9.0,88.0,3.0,0.0,0.0,245.0,28.0,8.0,41.0,1.0,0.0,19.0,1.0
4,1.0,31.0,2.0,32.0,1.0,9.0,71.0,221.0,4.0,82.0,2.0,0.0,0.0,203.0,20.0,10.0,33.0,1.0,0.0,6.0,1.0
5,1.0,23.0,7.0,59.0,1.0,13.0,42.0,204.0,4.0,96.0,8.0,3.0,0.0,287.0,30.0,14.0,37.0,2.0,0.0,7.0,2.0
6,2.0,3.0,8.0,59.0,1.0,19.0,44.0,175.0,7.0,86.0,16.0,0.0,0.0,269.0,25.0,10.0,43.0,0.0,0.0,7.0,2.0
7,2.0,6.0,2.0,54.0,2.0,15.0,69.0,225.0,5.0,96.0,6.0,1.0,0.0,265.0,30.0,5.0,44.0,2.0,0.0,13.0,1.0
