,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,6.0,0.0,0.0,13.0,0.0,18.0,10.0,5.0,2.0,7.0,6.0,0.0,0.0,35.0,5.0,3.0,95.0,3.0,33.0,1.0,1.0
8,1.0,0.0,0.0,16.0,0.0,10.0,15.0,12.0,3.0,13.0,16.0,0.0,0.0,28.0,5.0,4.0,83.0,8.0,42.0,3.0,5.0
9,5.0,0.0,0.0,10.0,0.0,15.0,11.0,10.0,5.0,4.0,14.0,0.0,0.0,22.0,10.0,4.0,79.0,4.0,34.0,0.0,3.0
10,3.0,0.0,1.0,12.0,1.0,15.0,13.0,6.0,1.0,4.0,12.0,0.0,0.0,20.0,7.0,5.0,78.0,4.0,34.0,3.0,1.0
11,1.0,0.0,0.0,12.0,1.0,12.0,14.0,2.0,1.0,6.0,19.0,0.0,0.0,44.0,16.0,3.0,75.0,7.0,31.0,2.0,0.0
12,0.0,0.0,0.0,10.0,0.0,14.0,8.0,6.0,2.0,7.0,11.0,0.0,0.0,28.0,17.0,6.0,73.0,5.0,31.0,0.0,0.0
1,0.0,0.0,0.0,13.0,0.0,8.0,12.0,10.0,1.0,10.0,16.0,0.0,0.0,24.0,6.0,5.0,75.0,1.0,44.0,2.0,2.0
2,2.0,0.0,0.0,18.0,0.0,12.0,5.0,18.0,1.0,5.0,13.0,0.0,0.0,23.0,10.0,6.0,68.0,13.0,30.0,1.0,0.0
3,0.0,0.0,0.0,13.0,1.0,18.0,16.0,17.0,2.0,6.0,9.0,0.0,0.0,40.0,20.0,5.0,104.0,21.0,56.0,5.0,0.0
4,0.0,0.0,0.0,9.0,0.0,14.0,18.0,8.0,0.0,6.0,11.0,0.0,0.0,26.0,3.0,8.0,87.0,13.0,34.0,1.0,0.0
5,0.0,0.0,0.0,14.0,1.0,20.0,13.0,11.0,0.0,9.0,17.0,0.0,0.0,30.0,13.0,5.0,104.0,10.0,51.0,3.0,0.0
6,0.0,0.0,0.0,14.0,0.0,12.0,17.0,11.0,2.0,8.0,15.0,0.0,0.0,26.0,11.0,4.0,109.0,8.0,69.0,4.0,0.0
7,0.0,0.0,0.0,9.0,1.0,15.0,24.0,13.0,2.0,7.0,28.0,0.0,0.0,35.0,25.0,3.0,90.0,5.0,31.0,4.0,0.0
8,0.0,0.0,0.0,5.0,0.0,20.0,15.0,4.0,3.0,8.0,24.0,0.0,0.0,29.0,14.0,6.0,97.0,16.0,58.0,0.0,3.0
