,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,5.0,0.0,0.0,15.0,0.0,9.0,81.0,97.0,8.0,10.0,98.0,1.0,0.0,78.0,9.0,3.0,59.0,14.0,91.0,3.0,6.0
8,6.0,1.0,0.0,8.0,0.0,6.0,79.0,92.0,3.0,10.0,112.0,5.0,0.0,72.0,8.0,5.0,74.0,14.0,78.0,7.0,6.0
9,6.0,2.0,0.0,17.0,0.0,5.0,59.0,86.0,3.0,6.0,83.0,0.0,0.0,75.0,7.0,3.0,61.0,8.0,93.0,2.0,5.0
10,5.0,1.0,0.0,9.0,0.0,2.0,87.0,90.0,5.0,7.0,111.0,0.0,0.0,101.0,16.0,8.0,45.0,6.0,95.0,4.0,6.0
11,6.0,6.0,0.0,14.0,0.0,6.0,65.0,113.0,5.0,12.0,91.0,1.0,0.0,99.0,9.0,2.0,70.0,2.0,96.0,7.0,6.0
12,6.0,2.0,0.0,15.0,0.0,4.0,80.0,132.0,11.0,21.0,117.0,0.0,0.0,95.0,13.0,3.0,95.0,6.0,81.0,1.0,4.0
1,4.0,1.0,0.0,15.0,0.0,2.0,73.0,152.0,6.0,72.0,33.0,0.0,1.0,87.0,7.0,4.0,81.0,14.0,94.0,5.0,3.0
2,3.0,1.0,0.0,11.0,0.0,1.0,70.0,108.0,8.0,83.0,35.0,2.0,0.0,85.0,10.0,5.0,64.0,11.0,63.0,5.0,6.0
3,6.0,0.0,0.0,19.0,0.0,3.0,66.0,145.0,7.0,107.0,32.0,0.0,0.0,97.0,9.0,0.0,64.0,12.0,95.0,1.0,5.0
4,5.0,2.0,0.0,14.0,0.0,3.0,43.0,139.0,2.0,96.0,43.0,0.0,0.0,0.0,13.0,2.0,61.0,7.0,64.0,3.0,7.0
5,7.0,5.0,0.0,8.0,0.0,6.0,60.0,101.0,9.0,89.0,46.0,0.0,0.0,100.0,16.0,1.0,77.0,1.0,98.0,1.0,7.0
6,7.0,1.0,0.0,24.0,0.0,2.0,47.0,95.0,10.0,116.0,81.0,0.0,0.0,117.0,10.0,3.0,84.0,14.0,91.0,3.0,10.0
7,10.0,2.0,0.0,21.0,0.0,3.0,65.0,106.0,7.0,105.0,41.0,0.0,0.0,110.0,7.0,1.0,73.0,16.0,85.0,4.0,7.0
8,7.0,4.0,0.0,13.0,0.0,6.0,57.0,86.0,12.0,118.0,41.0,3.0,0.0,110.0,16.0,4.0,84.0,20.0,91.0,4.0,6.0
9,6.0,5.0,0.0,14.0,0.0,4.0,36.0,103.0,8.0,96.0,36.0,0.0,0.0,130.0,16.0,2.0,84.0,13.0,74.0,7.0,20.0
10,20.0,5.0,0.0,13.0,0.0,5.0,50.0,124.0,14.0,110.0,44.0,0.0,1.0,114.0,24.0,1.0,81.0,22.0,110.0,6.0,15.0
