,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,10.0,0.0,0.0,89.0,1.0,56.0,101.0,44.0,2.0,74.0,74.0,0.0,0.0,136.0,25.0,14.0,387.0,57.0,125.0,6.0,10.0
8,10.0,0.0,0.0,76.0,0.0,49.0,98.0,49.0,2.0,62.0,114.0,0.0,0.0,160.0,22.0,15.0,302.0,52.0,132.0,3.0,10.0
9,10.0,0.0,0.0,65.0,0.0,35.0,51.0,39.0,5.0,50.0,73.0,0.0,0.0,105.0,34.0,11.0,325.0,44.0,84.0,10.0,13.0
10,13.0,0.0,0.0,78.0,1.0,42.0,30.0,45.0,6.0,23.0,32.0,0.0,0.0,66.0,36.0,13.0,253.0,44.0,127.0,6.0,6.0
11,6.0,0.0,0.0,68.0,0.0,39.0,13.0,25.0,6.0,12.0,26.0,0.0,0.0,61.0,25.0,24.0,239.0,41.0,91.0,5.0,7.0
12,7.0,0.0,0.0,56.0,0.0,39.0,46.0,22.0,1.0,33.0,41.0,0.0,0.0,82.0,75.0,27.0,243.0,44.0,102.0,5.0,6.0
1,6.0,0.0,0.0,49.0,0.0,50.0,79.0,41.0,5.0,34.0,75.0,0.0,0.0,128.0,45.0,23.0,215.0,54.0,65.0,5.0,11.0
2,11.0,0.0,0.0,55.0,2.0,40.0,47.0,49.0,0.0,28.0,44.0,0.0,0.0,76.0,39.0,19.0,258.0,61.0,88.0,10.0,4.0
3,4.0,0.0,0.0,65.0,1.0,44.0,69.0,48.0,3.0,28.0,61.0,0.0,0.0,89.0,46.0,14.0,290.0,87.0,99.0,8.0,7.0
4,7.0,0.0,0.0,44.0,0.0,43.0,37.0,51.0,4.0,25.0,55.0,0.0,0.0,67.0,36.0,23.0,242.0,48.0,67.0,3.0,8.0
5,8.0,0.0,0.0,50.0,0.0,41.0,36.0,28.0,2.0,26.0,58.0,0.0,0.0,74.0,37.0,28.0,319.0,45.0,110.0,9.0,12.0
6,12.0,0.0,0.0,44.0,0.0,55.0,42.0,37.0,6.0,21.0,62.0,0.0,0.0,56.0,16.0,23.0,325.0,55.0,101.0,5.0,6.0
7,6.0,0.0,0.0,49.0,0.0,56.0,49.0,21.0,4.0,37.0,59.0,0.0,0.0,100.0,30.0,13.0,243.0,48.0,101.0,9.0,7.0
8,7.0,0.0,0.0,46.0,0.0,54.0,51.0,38.0,1.0,45.0,68.0,0.0,0.0,69.0,22.0,21.0,346.0,102.0,139.0,5.0,7.0
9,7.0,0.0,0.0,51.0,0.0,65.0,41.0,24.0,6.0,26.0,55.0,0.0,0.0,82.0,28.0,18.0,365.0,71.0,76.0,9.0,11.0
10,11.0,0.0,0.0,52.0,2.0,37.0,36.0,34.0,4.0,31.0,48.0,0.0,0.0,75.0,46.0,18.0,249.0,91.0,81.0,9.0,12.0
11,12.0,0.0,0.0,41.0,0.0,34.0,42.0,35.0,4.0,19.0,42.0,0.0,0.0,70.0,44.0,11.0,270.0,62.0,108.0,2.0,3.0
12,3.0,0.0,0.0,55.0,1.0,37.0,23.0,25.0,1.0,29.0,50.0,0.0,0.0,64.0,40.0,14.0,200.0,75.0,72.0,6.0,8.0
1,8.0,0.0,1.0,56.0,0.0,37.0,50.0,14.0,0.0,20.0,57.0,0.0,0.0,84.0,26.0,8.0,159.0,78.0,58.0,1.0,6.0
2,6.0,0.0,0.0,42.0,1.0,43.0,34.0,20.0,2.0,25.0,69.0,0.0,0.0,81.0,38.0,13.0,199.0,67.0,71.0,2.0,6.0
3,6.0,0.0,0.0,58.0,2.0,37.0,60.0,27.0,0.0,19.0,85.0,0.0,0.0,86.0,29.0,14.0,246.0,59.0,71.0,7.0,12.0
4,12.0,0.0,0.0,56.0,0.0,55.0,46.0,25.0,3.0,26.0,72.0,0.0,0.0,97.0,14.0,16.0,251.0,57.0,76.0,5.0,14.0
5,14.0,0.0,0.0,46.0,1.0,42.0,47.0,25.0,5.0,32.0,50.0,0.0,0.0,99.0,38.0,13.0,247.0,75.0,116.0,2.0,7.0
6,7.0,0.0,0.0,24.0,0.0,40.0,22.0,38.0,0.0,23.0,46.0,0.0,0.0,63.0,24.0,17.0,320.0,48.0,97.0,5.0,12.0
7,12.0,0.0,0.0,49.0,0.0,43.0,66.0,31.0,5.0,35.0,65.0,0.0,0.0,79.0,31.0,19.0,268.0,51.0,70.0,4.0,17.0
8,17.0,0.0,0.0,51.0,1.0,46.0,52.0,18.0,6.0,27.0,45.0,0.0,0.0,84.0,44.0,18.0,249.0,66.0,91.0,3.0,20.0
9,20.0,0.0,0.0,51.0,1.0,41.0,51.0,15.0,3.0,41.0,39.0,0.0,0.0,76.0,26.0,15.0,274.0,69.0,105.0,10.0,20.0
10,20.0,0.0,0.0,48.0,1.0,54.0,39.0,30.0,6.0,25.0,50.0,0.0,0.0,71.0,39.0,6.0,265.0,62.0,80.0,5.0,20.0
11,20.0,0.0,0.0,48.0,0.0,36.0,61.0,24.0,2.0,29.0,49.0,0.0,0.0,108.0,25.0,14.0,175.0,62.0,102.0,6.0,22.0
