,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,13.0,0.0,0.0,46.0,0.0,7.0,46.0,68.0,2.0,72.0,100.0,0.0,0.0,136.0,30.0,10.0,137.0,7.0,64.0,9.0,9.0
8,9.0,0.0,0.0,39.0,1.0,8.0,38.0,87.0,0.0,93.0,137.0,0.0,0.0,146.0,33.0,3.0,148.0,15.0,62.0,3.0,11.0
9,11.0,0.0,0.0,35.0,1.0,7.0,54.0,86.0,2.0,95.0,132.0,0.0,0.0,133.0,41.0,5.0,155.0,13.0,92.0,7.0,10.0
10,10.0,0.0,0.0,43.0,0.0,4.0,68.0,81.0,2.0,112.0,117.0,0.0,0.0,131.0,26.0,4.0,141.0,12.0,71.0,5.0,6.0
11,6.0,0.0,0.0,41.0,2.0,4.0,59.0,88.0,4.0,115.0,141.0,0.0,0.0,102.0,38.0,6.0,153.0,13.0,81.0,14.0,7.0
12,7.0,0.0,0.0,43.0,1.0,4.0,51.0,85.0,0.0,104.0,113.0,0.0,0.0,140.0,14.0,10.0,131.0,12.0,66.0,4.0,12.0
1,12.0,0.0,0.0,45.0,0.0,12.0,37.0,73.0,1.0,105.0,147.0,0.0,0.0,150.0,22.0,7.0,136.0,7.0,66.0,5.0,5.0
2,5.0,0.0,0.0,31.0,1.0,1.0,46.0,72.0,0.0,89.0,150.0,0.0,0.0,121.0,31.0,3.0,138.0,23.0,55.0,2.0,14.0
3,14.0,0.0,0.0,38.0,0.0,2.0,50.0,82.0,0.0,86.0,129.0,0.0,0.0,181.0,27.0,6.0,156.0,24.0,85.0,4.0,17.0
4,17.0,0.0,0.0,20.0,0.0,8.0,53.0,63.0,0.0,89.0,112.0,0.0,0.0,207.0,25.0,6.0,171.0,22.0,70.0,8.0,14.0
5,14.0,0.0,0.0,42.0,1.0,12.0,59.0,82.0,0.0,130.0,146.0,0.0,0.0,217.0,36.0,5.0,162.0,38.0,85.0,6.0,13.0
6,13.0,0.0,0.0,42.0,0.0,7.0,44.0,81.0,2.0,110.0,168.0,0.0,0.0,226.0,29.0,6.0,217.0,40.0,72.0,8.0,8.0
7,8.0,0.0,0.0,35.0,1.0,4.0,58.0,70.0,3.0,125.0,160.0,0.0,0.0,245.0,24.0,1.0,150.0,35.0,50.0,6.0,13.0
8,13.0,0.0,0.0,38.0,0.0,10.0,51.0,53.0,0.0,47.0,158.0,0.0,0.0,335.0,27.0,9.0,171.0,49.0,69.0,4.0,13.0
9,13.0,0.0,0.0,39.0,1.0,8.0,63.0,57.0,1.0,38.0,142.0,0.0,0.0,314.0,22.0,8.0,182.0,34.0,74.0,7.0,9.0
10,9.0,0.0,0.0,47.0,0.0,10.0,73.0,51.0,2.0,36.0,138.0,0.0,0.0,380.0,40.0,6.0,202.0,52.0,74.0,5.0,24.0
11,24.0,0.0,0.0,43.0,0.0,6.0,64.0,63.0,4.0,38.0,134.0,0.0,0.0,335.0,27.0,4.0,163.0,46.0,79.0,3.0,15.0
12,15.0,0.0,0.0,42.0,0.0,5.0,41.0,65.0,0.0,70.0,114.0,0.0,0.0,268.0,26.0,6.0,171.0,30.0,63.0,1.0,14.0
1,14.0,0.0,0.0,30.0,0.0,15.0,60.0,67.0,3.0,162.0,152.0,0.0,0.0,274.0,31.0,4.0,131.0,63.0,58.0,6.0,14.0
2,14.0,0.0,0.0,34.0,0.0,22.0,50.0,72.0,5.0,146.0,138.0,0.0,0.0,250.0,41.0,5.0,174.0,50.0,72.0,8.0,24.0
3,24.0,0.0,0.0,41.0,0.0,15.0,54.0,99.0,1.0,164.0,136.0,0.0,0.0,230.0,33.0,5.0,199.0,22.0,103.0,8.0,21.0
4,21.0,0.0,0.0,22.0,0.0,17.0,62.0,78.0,0.0,160.0,138.0,0.0,0.0,224.0,30.0,4.0,203.0,40.0,78.0,6.0,18.0
5,18.0,0.0,0.0,45.0,0.0,20.0,52.0,103.0,2.0,171.0,159.0,0.0,0.0,246.0,23.0,7.0,188.0,50.0,105.0,13.0,15.0
6,15.0,0.0,0.0,32.0,1.0,16.0,45.0,83.0,3.0,153.0,151.0,0.0,0.0,241.0,34.0,3.0,186.0,41.0,96.0,6.0,23.0
7,23.0,0.0,0.0,20.0,0.0,20.0,54.0,105.0,0.0,184.0,136.0,0.0,0.0,265.0,36.0,4.0,183.0,54.0,112.0,7.0,11.0
8,11.0,0.0,0.0,37.0,1.0,21.0,87.0,99.0,3.0,166.0,137.0,0.0,0.0,266.0,30.0,3.0,161.0,78.0,86.0,9.0,11.0
9,11.0,0.0,0.0,42.0,0.0,18.0,56.0,102.0,6.0,195.0,111.0,0.0,0.0,240.0,24.0,4.0,174.0,82.0,88.0,7.0,16.0
10,16.0,0.0,0.0,34.0,0.0,18.0,60.0,87.0,0.0,212.0,131.0,0.0,0.0,219.0,23.0,4.0,175.0,157.0,92.0,3.0,11.0
11,11.0,0.0,0.0,38.0,0.0,17.0,68.0,91.0,1.0,201.0,155.0,0.0,0.0,203.0,27.0,3.0,176.0,123.0,96.0,8.0,24.0
12,24.0,0.0,0.0,33.0,0.0,14.0,63.0,94.0,2.0,180.0,131.0,0.0,0.0,146.0,28.0,4.0,156.0,89.0,86.0,6.0,18.0
1,18.0,0.0,0.0,30.0,5.0,21.0,59.0,76.0,6.0,184.0,137.0,0.0,0.0,162.0,26.0,8.0,176.0,101.0,96.0,10.0,12.0
2,12.0,0.0,0.0,37.0,0.0,21.0,48.0,69.0,6.0,167.0,155.0,0.0,0.0,106.0,25.0,16.0,209.0,47.0,87.0,5.0,16.0
3,16.0,0.0,0.0,34.0,0.0,21.0,37.0,67.0,3.0,134.0,162.0,0.0,0.0,136.0,26.0,6.0,260.0,57.0,138.0,10.0,13.0
4,13.0,0.0,0.0,40.0,0.0,21.0,63.0,73.0,2.0,156.0,137.0,0.0,0.0,146.0,50.0,4.0,252.0,30.0,117.0,15.0,26.0
5,26.0,0.0,0.0,34.0,0.0,17.0,55.0,81.0,2.0,140.0,125.0,0.0,0.0,146.0,29.0,12.0,302.0,41.0,158.0,7.0,15.0
6,15.0,0.0,0.0,30.0,2.0,12.0,54.0,71.0,2.0,133.0,158.0,0.0,0.0,137.0,26.0,10.0,244.0,46.0,132.0,9.0,16.0
7,16.0,0.0,0.0,22.0,0.0,21.0,43.0,73.0,8.0,132.0,130.0,0.0,0.0,142.0,21.0,6.0,247.0,52.0,132.0,7.0,14.0
8,14.0,0.0,0.0,33.0,1.0,25.0,51.0,69.0,2.0,126.0,152.0,0.0,0.0,148.0,33.0,9.0,300.0,51.0,109.0,10.0,11.0
9,11.0,0.0,0.0,28.0,0.0,25.0,48.0,80.0,4.0,100.0,123.0,0.0,0.0,135.0,35.0,10.0,306.0,64.0,134.0,5.0,8.0
10,8.0,0.0,0.0,31.0,1.0,20.0,48.0,70.0,7.0,141.0,170.0,0.0,0.0,149.0,27.0,7.0,272.0,47.0,148.0,10.0,16.0
11,16.0,0.0,0.0,50.0,0.0,19.0,46.0,74.0,1.0,112.0,137.0,0.0,0.0,132.0,28.0,3.0,251.0,46.0,122.0,8.0,14.0
12,14.0,0.0,0.0,45.0,1.0,21.0,56.0,66.0,0.0,99.0,98.0,0.0,0.0,104.0,31.0,1.0,269.0,40.0,115.0,9.0,9.0
1,9.0,0.0,0.0,25.0,0.0,17.0,51.0,51.0,4.0,107.0,138.0,0.0,0.0,132.0,25.0,6.0,268.0,58.0,128.0,9.0,18.0
2,18.0,0.0,0.0,40.0,0.0,20.0,50.0,54.0,7.0,81.0,156.0,0.0,0.0,133.0,22.0,10.0,320.0,67.0,155.0,14.0,10.0
3,10.0,0.0,0.0,36.0,0.0,18.0,42.0,65.0,3.0,112.0,154.0,0.0,0.0,156.0,30.0,3.0,361.0,58.0,155.0,9.0,12.0
4,12.0,0.0,0.0,26.0,1.0,11.0,19.0,49.0,3.0,50.0,104.0,0.0,0.0,71.0,17.0,2.0,241.0,59.0,104.0,5.0,12.0
5,12.0,0.0,0.0,22.0,1.0,10.0,23.0,43.0,3.0,52.0,126.0,0.0,0.0,78.0,12.0,3.0,232.0,56.0,76.0,3.0,13.0
