,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,0.0,0.0,0.0,20.0,0.0,11.0,35.0,156.0,12.0,43.0,28.0,1.0,0.0,77.0,2.0,6.0,172.0,12.0,7.0,8.0,0.0
8,0.0,0.0,0.0,34.0,0.0,23.0,45.0,128.0,4.0,33.0,45.0,0.0,0.0,105.0,1.0,3.0,177.0,14.0,9.0,2.0,2.0
9,2.0,0.0,0.0,49.0,0.0,21.0,84.0,122.0,9.0,64.0,46.0,0.0,0.0,141.0,17.0,5.0,185.0,18.0,11.0,1.0,4.0
10,4.0,0.0,0.0,16.0,1.0,20.0,78.0,138.0,3.0,64.0,51.0,0.0,0.0,119.0,36.0,1.0,213.0,6.0,9.0,1.0,1.0
11,1.0,0.0,0.0,5.0,2.0,28.0,77.0,127.0,10.0,39.0,47.0,0.0,0.0,128.0,34.0,1.0,223.0,16.0,10.0,4.0,0.0
12,0.0,0.0,0.0,28.0,0.0,18.0,63.0,165.0,6.0,59.0,54.0,0.0,0.0,112.0,21.0,1.0,157.0,8.0,4.0,2.0,0.0
1,0.0,0.0,0.0,40.0,2.0,20.0,90.0,224.0,7.0,63.0,76.0,0.0,1.0,127.0,43.0,3.0,183.0,26.0,4.0,5.0,3.0
2,3.0,0.0,0.0,30.0,2.0,12.0,94.0,206.0,13.0,89.0,70.0,0.0,0.0,128.0,31.0,5.0,239.0,29.0,6.0,3.0,3.0
3,3.0,0.0,0.0,27.0,0.0,15.0,95.0,250.0,11.0,92.0,71.0,0.0,0.0,146.0,43.0,5.0,248.0,24.0,10.0,1.0,6.0
4,6.0,0.0,0.0,19.0,0.0,20.0,99.0,221.0,13.0,86.0,91.0,0.0,0.0,120.0,54.0,3.0,241.0,30.0,2.0,7.0,7.0
5,7.0,0.0,0.0,10.0,0.0,19.0,102.0,273.0,8.0,91.0,80.0,1.0,0.0,193.0,41.0,2.0,278.0,25.0,8.0,10.0,7.0
6,7.0,0.0,0.0,11.0,0.0,14.0,133.0,278.0,11.0,134.0,76.0,0.0,0.0,138.0,51.0,1.0,235.0,31.0,1.0,10.0,7.0
7,7.0,0.0,0.0,11.0,0.0,25.0,100.0,295.0,8.0,116.0,67.0,0.0,0.0,128.0,35.0,5.0,245.0,33.0,2.0,4.0,6.0
8,6.0,0.0,0.0,13.0,0.0,32.0,86.0,282.0,13.0,118.0,82.0,0.0,0.0,122.0,38.0,5.0,282.0,21.0,7.0,6.0,8.0
9,8.0,0.0,0.0,10.0,0.0,31.0,83.0,205.0,15.0,125.0,81.0,0.0,0.0,145.0,33.0,5.0,233.0,14.0,13.0,8.0,7.0
10,7.0,0.0,0.0,10.0,1.0,26.0,102.0,225.0,24.0,93.0,73.0,1.0,0.0,148.0,40.0,9.0,311.0,7.0,6.0,9.0,13.0
11,13.0,0.0,0.0,11.0,2.0,40.0,114.0,245.0,16.0,103.0,79.0,0.0,1.0,119.0,40.0,4.0,317.0,21.0,13.0,5.0,6.0
12,6.0,0.0,0.0,11.0,0.0,23.0,60.0,245.0,8.0,69.0,47.0,0.0,0.0,101.0,37.0,1.0,200.0,130.0,11.0,3.0,4.0
1,4.0,0.0,0.0,10.0,1.0,32.0,93.0,308.0,24.0,99.0,76.0,0.0,0.0,121.0,41.0,10.0,233.0,13.0,8.0,7.0,5.0
2,5.0,0.0,0.0,7.0,1.0,31.0,73.0,281.0,18.0,79.0,45.0,0.0,0.0,105.0,37.0,10.0,239.0,5.0,8.0,4.0,10.0
3,10.0,0.0,0.0,10.0,0.0,22.0,84.0,300.0,11.0,95.0,46.0,0.0,0.0,143.0,34.0,10.0,313.0,12.0,8.0,6.0,13.0
4,13.0,0.0,0.0,3.0,0.0,22.0,84.0,269.0,11.0,105.0,69.0,0.0,0.0,125.0,45.0,7.0,287.0,18.0,10.0,2.0,8.0
5,8.0,0.0,0.0,3.0,1.0,27.0,71.0,271.0,15.0,101.0,74.0,0.0,2.0,123.0,23.0,10.0,345.0,19.0,20.0,12.0,4.0
6,4.0,0.0,0.0,11.0,0.0,32.0,81.0,241.0,9.0,97.0,68.0,0.0,0.0,121.0,30.0,9.0,347.0,13.0,13.0,2.0,9.0
