,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,24.0,36.0,0.0,67.0,0.0,18.0,129.0,402.0,7.0,379.0,223.0,0.0,0.0,444.0,54.0,21.0,217.0,55.0,264.0,4.0,15.0
8,15.0,7.0,0.0,66.0,0.0,10.0,133.0,416.0,5.0,375.0,240.0,0.0,0.0,512.0,52.0,11.0,211.0,42.0,277.0,7.0,12.0
9,12.0,6.0,0.0,59.0,0.0,9.0,108.0,307.0,4.0,332.0,161.0,0.0,0.0,452.0,48.0,5.0,204.0,41.0,252.0,4.0,19.0
10,19.0,13.0,0.0,59.0,1.0,9.0,127.0,274.0,1.0,348.0,200.0,0.0,1.0,470.0,63.0,9.0,208.0,26.0,246.0,5.0,13.0
11,13.0,15.0,0.0,65.0,0.0,7.0,93.0,250.0,6.0,332.0,123.0,0.0,0.0,379.0,51.0,4.0,145.0,27.0,241.0,6.0,19.0
12,19.0,8.0,0.0,26.0,2.0,9.0,93.0,239.0,1.0,336.0,147.0,0.0,0.0,347.0,52.0,6.0,165.0,18.0,232.0,2.0,25.0
1,25.0,1.0,0.0,38.0,1.0,15.0,109.0,250.0,8.0,335.0,136.0,0.0,0.0,497.0,42.0,14.0,143.0,16.0,262.0,2.0,23.0
2,23.0,1.0,0.0,48.0,0.0,21.0,86.0,277.0,7.0,315.0,118.0,0.0,0.0,394.0,66.0,17.0,224.0,17.0,238.0,6.0,23.0
3,23.0,0.0,0.0,57.0,1.0,19.0,87.0,219.0,5.0,313.0,113.0,0.0,0.0,365.0,50.0,14.0,246.0,25.0,268.0,4.0,33.0
4,33.0,0.0,0.0,25.0,1.0,20.0,47.0,197.0,6.0,229.0,101.0,0.0,0.0,231.0,25.0,11.0,230.0,17.0,175.0,2.0,18.0
5,18.0,0.0,0.0,43.0,0.0,12.0,50.0,189.0,8.0,259.0,88.0,0.0,0.0,269.0,56.0,17.0,233.0,10.0,205.0,5.0,17.0
