,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,8.0,1.0,0.0,26.0,1.0,8.0,180.0,283.0,3.0,26.0,186.0,2.0,1.0,194.0,10.0,12.0,108.0,19.0,149.0,9.0,9.0
8,9.0,6.0,0.0,19.0,0.0,4.0,178.0,289.0,3.0,22.0,234.0,1.0,0.0,206.0,18.0,12.0,105.0,11.0,147.0,6.0,8.0
9,8.0,7.0,0.0,35.0,0.0,5.0,138.0,258.0,4.0,37.0,168.0,1.0,0.0,185.0,19.0,10.0,96.0,6.0,140.0,4.0,6.0
10,6.0,3.0,0.0,26.0,0.0,3.0,152.0,320.0,2.0,25.0,177.0,0.0,0.0,251.0,20.0,21.0,84.0,11.0,166.0,3.0,8.0
11,8.0,7.0,0.0,34.0,0.0,5.0,169.0,306.0,1.0,27.0,190.0,1.0,0.0,240.0,28.0,10.0,152.0,3.0,166.0,6.0,6.0
12,6.0,7.0,0.0,21.0,0.0,7.0,156.0,303.0,1.0,50.0,285.0,0.0,0.0,229.0,14.0,4.0,191.0,11.0,135.0,2.0,17.0
1,17.0,5.0,0.0,39.0,0.0,7.0,161.0,293.0,2.0,156.0,103.0,0.0,0.0,236.0,31.0,11.0,134.0,23.0,160.0,10.0,12.0
2,12.0,3.0,0.0,32.0,0.0,3.0,143.0,271.0,1.0,158.0,80.0,1.0,0.0,193.0,38.0,7.0,127.0,14.0,148.0,6.0,10.0
3,10.0,1.0,0.0,33.0,0.0,6.0,164.0,298.0,3.0,199.0,127.0,2.0,0.0,229.0,35.0,5.0,164.0,17.0,125.0,6.0,7.0
4,7.0,8.0,0.0,29.0,0.0,4.0,157.0,283.0,4.0,154.0,108.0,1.0,0.0,0.0,29.0,7.0,108.0,14.0,139.0,3.0,11.0
5,11.0,4.0,0.0,44.0,0.0,7.0,135.0,274.0,10.0,172.0,100.0,1.0,0.0,227.0,26.0,4.0,179.0,29.0,181.0,5.0,12.0
6,12.0,1.0,0.0,31.0,1.0,9.0,161.0,239.0,2.0,176.0,114.0,1.0,0.0,258.0,25.0,6.0,150.0,16.0,179.0,3.0,10.0
7,10.0,2.0,0.0,30.0,0.0,6.0,164.0,272.0,1.0,168.0,88.0,0.0,1.0,275.0,41.0,0.0,173.0,26.0,140.0,6.0,15.0
8,15.0,12.0,0.0,42.0,0.0,11.0,174.0,255.0,5.0,181.0,101.0,0.0,0.0,221.0,29.0,9.0,188.0,28.0,134.0,2.0,6.0
9,6.0,5.0,0.0,33.0,0.0,7.0,169.0,248.0,5.0,166.0,103.0,1.0,0.0,246.0,34.0,6.0,166.0,13.0,157.0,11.0,11.0
10,11.0,8.0,1.0,36.0,0.0,5.0,177.0,253.0,4.0,196.0,91.0,1.0,0.0,294.0,44.0,10.0,137.0,16.0,152.0,4.0,7.0
11,7.0,8.0,0.0,29.0,0.0,10.0,141.0,261.0,4.0,155.0,153.0,0.0,1.0,242.0,39.0,5.0,158.0,17.0,142.0,7.0,6.0
12,6.0,6.0,1.0,29.0,0.0,10.0,115.0,222.0,1.0,139.0,129.0,1.0,1.0,192.0,23.0,10.0,116.0,23.0,107.0,5.0,9.0
1,9.0,4.0,0.0,43.0,0.0,6.0,141.0,245.0,5.0,135.0,110.0,0.0,0.0,242.0,41.0,9.0,165.0,31.0,157.0,6.0,10.0
2,10.0,4.0,0.0,32.0,0.0,6.0,134.0,217.0,5.0,151.0,112.0,1.0,0.0,250.0,50.0,9.0,124.0,33.0,118.0,7.0,9.0
3,9.0,1.0,1.0,41.0,0.0,17.0,127.0,236.0,5.0,146.0,133.0,2.0,0.0,231.0,41.0,11.0,136.0,19.0,155.0,2.0,16.0
4,16.0,3.0,0.0,37.0,0.0,6.0,114.0,235.0,4.0,173.0,114.0,1.0,0.0,192.0,44.0,11.0,146.0,35.0,159.0,5.0,10.0
5,10.0,2.0,0.0,37.0,0.0,6.0,113.0,231.0,6.0,143.0,133.0,2.0,0.0,264.0,28.0,13.0,142.0,16.0,153.0,5.0,3.0
6,3.0,6.0,0.0,26.0,1.0,4.0,122.0,228.0,4.0,168.0,124.0,0.0,0.0,276.0,25.0,22.0,167.0,28.0,130.0,6.0,11.0
