,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,6.0,42.0,0.0,10.0,1.0,2.0,32.0,100.0,5.0,13.0,0.0,0.0,0.0,123.0,10.0,6.0,7.0,16.0,0.0,3.0,5.0
8,5.0,78.0,0.0,4.0,1.0,3.0,27.0,90.0,10.0,30.0,0.0,0.0,0.0,101.0,7.0,8.0,13.0,10.0,0.0,4.0,12.0
9,12.0,3.0,0.0,16.0,1.0,7.0,21.0,92.0,9.0,60.0,5.0,0.0,0.0,137.0,8.0,7.0,23.0,16.0,0.0,8.0,8.0
10,8.0,0.0,0.0,24.0,1.0,2.0,22.0,70.0,6.0,92.0,8.0,0.0,0.0,156.0,13.0,7.0,13.0,31.0,0.0,7.0,6.0
11,6.0,5.0,0.0,28.0,3.0,2.0,26.0,76.0,5.0,69.0,6.0,0.0,0.0,134.0,9.0,6.0,19.0,45.0,0.0,7.0,6.0
12,6.0,4.0,0.0,31.0,0.0,2.0,36.0,74.0,9.0,122.0,10.0,0.0,0.0,107.0,11.0,10.0,28.0,34.0,0.0,16.0,12.0
1,12.0,4.0,2.0,21.0,2.0,1.0,25.0,85.0,1.0,83.0,9.0,0.0,0.0,83.0,14.0,4.0,15.0,13.0,0.0,7.0,6.0
2,6.0,1.0,0.0,16.0,1.0,5.0,22.0,60.0,13.0,81.0,10.0,0.0,0.0,104.0,17.0,3.0,33.0,14.0,0.0,8.0,11.0
3,11.0,5.0,1.0,20.0,2.0,9.0,29.0,85.0,7.0,133.0,12.0,0.0,0.0,150.0,16.0,9.0,67.0,12.0,0.0,8.0,16.0
4,16.0,3.0,1.0,21.0,0.0,4.0,50.0,83.0,4.0,116.0,5.0,0.0,0.0,168.0,12.0,5.0,64.0,13.0,0.0,11.0,13.0
5,13.0,8.0,1.0,20.0,0.0,0.0,57.0,64.0,12.0,128.0,12.0,0.0,0.0,127.0,20.0,11.0,49.0,8.0,0.0,4.0,5.0
