,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,11.0,1.0,0.0,14.0,0.0,2.0,89.0,69.0,11.0,2.0,104.0,2.0,0.0,62.0,8.0,1.0,64.0,13.0,56.0,0.0,9.0
8,9.0,1.0,0.0,6.0,0.0,0.0,110.0,38.0,6.0,8.0,73.0,1.0,0.0,56.0,8.0,2.0,63.0,10.0,45.0,3.0,7.0
9,7.0,2.0,0.0,12.0,0.0,1.0,80.0,42.0,0.0,10.0,49.0,2.0,0.0,48.0,7.0,3.0,54.0,3.0,50.0,2.0,11.0
10,11.0,0.0,0.0,7.0,0.0,3.0,95.0,46.0,6.0,14.0,59.0,0.0,1.0,77.0,4.0,7.0,34.0,10.0,57.0,3.0,8.0
11,8.0,5.0,1.0,16.0,0.0,0.0,142.0,62.0,8.0,3.0,92.0,0.0,0.0,84.0,7.0,0.0,77.0,3.0,61.0,5.0,2.0
12,2.0,8.0,0.0,8.0,0.0,2.0,88.0,45.0,7.0,12.0,92.0,1.0,0.0,66.0,6.0,3.0,55.0,4.0,51.0,1.0,10.0
1,10.0,0.0,0.0,17.0,0.0,5.0,141.0,73.0,8.0,64.0,41.0,2.0,0.0,82.0,12.0,5.0,82.0,10.0,65.0,1.0,3.0
2,3.0,2.0,0.0,14.0,0.0,0.0,111.0,62.0,9.0,53.0,37.0,1.0,0.0,63.0,6.0,2.0,68.0,11.0,52.0,2.0,7.0
3,7.0,1.0,0.0,15.0,0.0,2.0,140.0,74.0,7.0,79.0,47.0,2.0,1.0,98.0,14.0,5.0,93.0,7.0,63.0,2.0,6.0
4,6.0,5.0,0.0,16.0,0.0,4.0,118.0,81.0,3.0,47.0,52.0,1.0,1.0,0.0,8.0,0.0,66.0,5.0,71.0,2.0,4.0
5,4.0,5.0,0.0,19.0,0.0,4.0,118.0,89.0,4.0,61.0,32.0,0.0,0.0,82.0,9.0,0.0,83.0,9.0,83.0,1.0,3.0
6,3.0,1.0,0.0,24.0,0.0,2.0,115.0,61.0,9.0,59.0,54.0,2.0,0.0,95.0,9.0,2.0,91.0,5.0,81.0,3.0,8.0
7,8.0,2.0,0.0,23.0,0.0,6.0,94.0,68.0,6.0,58.0,46.0,0.0,0.0,109.0,20.0,3.0,91.0,8.0,64.0,0.0,12.0
8,12.0,5.0,0.0,25.0,0.0,2.0,132.0,70.0,10.0,60.0,45.0,0.0,0.0,80.0,11.0,2.0,100.0,11.0,79.0,2.0,7.0
9,7.0,6.0,0.0,27.0,0.0,9.0,130.0,84.0,4.0,65.0,42.0,2.0,0.0,99.0,6.0,1.0,102.0,5.0,102.0,4.0,1.0
10,1.0,5.0,0.0,13.0,0.0,2.0,124.0,71.0,5.0,64.0,40.0,0.0,0.0,112.0,17.0,2.0,93.0,11.0,93.0,4.0,4.0
11,4.0,3.0,0.0,21.0,0.0,4.0,103.0,100.0,7.0,54.0,51.0,0.0,0.0,91.0,9.0,2.0,94.0,5.0,85.0,2.0,10.0
12,10.0,6.0,0.0,27.0,0.0,4.0,141.0,116.0,11.0,54.0,60.0,2.0,0.0,77.0,7.0,1.0,69.0,14.0,61.0,5.0,3.0
1,3.0,6.0,0.0,19.0,0.0,4.0,94.0,130.0,8.0,40.0,77.0,0.0,0.0,119.0,18.0,5.0,82.0,19.0,78.0,6.0,6.0
2,6.0,6.0,0.0,21.0,0.0,6.0,71.0,86.0,5.0,80.0,46.0,0.0,1.0,165.0,13.0,3.0,83.0,12.0,68.0,0.0,14.0
