,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,9.0,68.0,0.0,4.0,1.0,12.0,44.0,426.0,29.0,63.0,3.0,0.0,1.0,265.0,21.0,25.0,71.0,29.0,0.0,11.0,16.0
8,16.0,126.0,0.0,7.0,2.0,24.0,29.0,262.0,43.0,88.0,0.0,0.0,0.0,297.0,27.0,19.0,45.0,139.0,0.0,14.0,14.0
9,14.0,13.0,0.0,26.0,1.0,13.0,53.0,153.0,48.0,214.0,11.0,0.0,0.0,255.0,22.0,25.0,64.0,106.0,0.0,17.0,18.0
10,18.0,8.0,0.0,30.0,0.0,25.0,59.0,161.0,43.0,248.0,11.0,0.0,0.0,292.0,29.0,28.0,71.0,118.0,0.0,16.0,18.0
11,18.0,21.0,0.0,36.0,2.0,16.0,43.0,154.0,40.0,298.0,17.0,0.0,1.0,212.0,29.0,17.0,61.0,103.0,0.0,12.0,24.0
12,24.0,39.0,0.0,38.0,3.0,25.0,39.0,146.0,41.0,364.0,18.0,0.0,3.0,234.0,20.0,20.0,45.0,41.0,0.0,15.0,18.0
1,18.0,33.0,1.0,20.0,0.0,20.0,24.0,124.0,52.0,282.0,28.0,0.0,0.0,249.0,45.0,11.0,33.0,6.0,0.0,10.0,18.0
2,18.0,53.0,1.0,20.0,1.0,19.0,30.0,109.0,56.0,314.0,19.0,0.0,0.0,196.0,24.0,11.0,53.0,2.0,0.0,13.0,27.0
3,27.0,32.0,0.0,15.0,2.0,41.0,50.0,135.0,59.0,257.0,5.0,0.0,0.0,280.0,26.0,22.0,48.0,3.0,0.0,12.0,17.0
4,17.0,29.0,0.0,9.0,0.0,29.0,59.0,142.0,45.0,202.0,2.0,0.0,0.0,246.0,22.0,19.0,89.0,11.0,0.0,12.0,16.0
5,16.0,39.0,0.0,1.0,0.0,28.0,52.0,129.0,37.0,267.0,4.0,0.0,0.0,255.0,36.0,23.0,85.0,9.0,0.0,20.0,14.0
6,14.0,12.0,0.0,15.0,3.0,27.0,61.0,139.0,46.0,317.0,8.0,0.0,0.0,274.0,34.0,23.0,77.0,3.0,0.0,15.0,15.0
7,15.0,4.0,0.0,14.0,2.0,46.0,68.0,148.0,43.0,319.0,3.0,0.0,0.0,291.0,33.0,13.0,83.0,5.0,0.0,20.0,11.0
8,11.0,5.0,0.0,21.0,3.0,59.0,67.0,169.0,48.0,366.0,3.0,0.0,0.0,298.0,39.0,22.0,80.0,13.0,0.0,22.0,12.0
9,12.0,4.0,0.0,19.0,1.0,37.0,54.0,182.0,39.0,332.0,3.0,0.0,0.0,287.0,31.0,13.0,85.0,6.0,0.0,14.0,18.0
10,18.0,6.0,0.0,19.0,2.0,48.0,57.0,189.0,37.0,437.0,1.0,0.0,0.0,301.0,40.0,21.0,84.0,11.0,0.0,21.0,19.0
11,19.0,8.0,0.0,10.0,2.0,31.0,63.0,169.0,48.0,410.0,5.0,0.0,0.0,282.0,40.0,15.0,105.0,19.0,0.0,16.0,29.0
