,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,5.0,0.0,0.0,9.0,0.0,2.0,62.0,102.0,5.0,4.0,56.0,1.0,0.0,35.0,5.0,2.0,62.0,10.0,54.0,1.0,3.0
8,3.0,1.0,0.0,8.0,0.0,2.0,65.0,76.0,2.0,6.0,52.0,0.0,0.0,47.0,7.0,5.0,59.0,4.0,64.0,8.0,2.0
9,2.0,1.0,0.0,9.0,0.0,2.0,61.0,57.0,6.0,7.0,46.0,1.0,0.0,33.0,6.0,3.0,47.0,5.0,66.0,2.0,1.0
10,1.0,2.0,0.0,6.0,1.0,1.0,76.0,64.0,1.0,6.0,69.0,0.0,0.0,43.0,10.0,4.0,50.0,5.0,71.0,2.0,4.0
11,4.0,1.0,0.0,14.0,0.0,3.0,65.0,56.0,1.0,15.0,60.0,2.0,1.0,42.0,3.0,4.0,77.0,3.0,61.0,2.0,3.0
12,3.0,8.0,0.0,8.0,0.0,3.0,71.0,85.0,1.0,12.0,102.0,0.0,0.0,51.0,7.0,1.0,115.0,5.0,51.0,2.0,5.0
1,5.0,1.0,0.0,6.0,0.0,1.0,83.0,96.0,2.0,62.0,27.0,0.0,0.0,56.0,10.0,4.0,68.0,9.0,66.0,1.0,9.0
2,9.0,4.0,0.0,6.0,0.0,1.0,74.0,70.0,3.0,74.0,26.0,1.0,0.0,45.0,11.0,1.0,46.0,12.0,58.0,2.0,5.0
3,5.0,0.0,0.0,7.0,0.0,0.0,53.0,74.0,2.0,89.0,26.0,2.0,0.0,61.0,4.0,2.0,82.0,10.0,56.0,0.0,4.0
4,4.0,3.0,0.0,14.0,0.0,2.0,63.0,91.0,4.0,89.0,22.0,0.0,0.0,0.0,9.0,0.0,64.0,10.0,66.0,1.0,4.0
5,4.0,4.0,0.0,18.0,0.0,4.0,52.0,69.0,4.0,75.0,30.0,1.0,0.0,58.0,5.0,0.0,75.0,25.0,68.0,1.0,7.0
6,7.0,1.0,0.0,18.0,0.0,0.0,49.0,71.0,2.0,88.0,26.0,1.0,1.0,54.0,4.0,2.0,75.0,20.0,57.0,4.0,5.0
7,5.0,0.0,0.0,12.0,0.0,7.0,62.0,73.0,2.0,94.0,24.0,0.0,0.0,82.0,10.0,3.0,82.0,14.0,73.0,3.0,9.0
